"country","stateroute","stops","common_label","deltaCover"
"US",14900,"1-25","Forest",-0.0107642432478964
"US",14900,"26-50","Forest",-0.00627591033383116
"US",14901,"1-25","Shrubland",0.00933022058680876
"US",14901,"26-50","Shrubland",0.00663043179128713
"US",14902,"1-25","Forest",-0.00297719087635052
"US",14902,"26-50","Forest",-0.00595164764531916
"US",14903,"1-25","Forest",-0.0078692590530128
"US",14903,"26-50","Forest",-0.00592679496841664
"US",14905,"1-25","Urban",0.00246238920061804
"US",14905,"26-50","Grasslands",-0.00311115515375115
"US",14907,"1-25","Grasslands",0.00259767020165943
"US",14907,"26-50","Grasslands",0.0028736563495922
"US",14908,"1-25","Forest",-0.001879692489021
"US",14908,"26-50","Forest",-0.00166734913419164
"US",14909,"1-25","Shrubland",0.00942815095573716
"US",14909,"26-50","Shrubland",0.010024706961729
"US",14953,"1-25","Forest",-0.00582890638186868
"US",14953,"26-50","Forest",-0.00671533148885376
"US",17001,"1-25","Shrubland",0.00659294126543036
"US",17001,"26-50","Grasslands",0.00484965612020146
"US",17002,"1-25","Shrubland",0.015536121972341
"US",17002,"26-50","Shrubland",0.0188684877371377
"US",17003,"1-25","Shrubland",0.0125080852448349
"US",17003,"26-50","Shrubland",0.0138768911407795
"US",17004,"1-25","Grasslands",-0.0099417478666102
"US",17004,"26-50","Shrubland",0.0162110276873852
"US",17005,"1-25","Grasslands",-0.000784149323751082
"US",17005,"26-50","Agricultural",-0.0040690937391906
"US",17006,"1-25","Grasslands",-0.00088421397465432
"US",17006,"26-50","Grasslands",-0.000764421158917838
"US",17007,"1-25","Grasslands",-0.00194259203695996
"US",17007,"26-50","Agricultural",-0.0016021824169844
"US",17008,"1-25","Shrubland",0.00280985960469916
"US",17008,"26-50","Grasslands",-0.000981951849521477
"US",17009,"1-25","Grasslands",-0.0067722804161337
"US",17009,"26-50","Grasslands",-0.00828981767561877
"US",17010,"1-25","Shrubland",0.0081903869187106
"US",17010,"26-50","Shrubland",0.00746873004045136
"US",17011,"1-25","Forest",-0.0159561028618385
"US",17011,"26-50","Forest",-0.00544989007756792
"US",17012,"1-25","Agricultural",-0.00225803552892109
"US",17012,"26-50","Agricultural",-0.0016867499402709
"US",17013,"1-25","Grasslands",-0.0025585027872118
"US",17013,"26-50","Grasslands",-0.0024682071800644
"US",17014,"1-25","Grasslands",-0.00201077199281864
"US",17014,"26-50","Grasslands",-0.00247704355068852
"US",17015,"1-25","Grasslands",-0.00428302247467163
"US",17015,"26-50","Forest",0.00666982441159204
"US",17016,"1-25","Grasslands",-0.0134862022736607
"US",17016,"26-50","Grasslands",-0.00942010696472567
"US",17017,"1-25","Shrubland",0.0189108765289225
"US",17017,"26-50","Shrubland",0.00527913666615602
"US",17018,"1-25","Grasslands",-0.0130614619104352
"US",17018,"26-50","Grasslands",-0.0104423923506873
"US",17019,"1-25","Grasslands",-0.00309840992593752
"US",17019,"26-50","Agricultural",-0.00310257387672574
"US",17020,"1-25","Grasslands",-0.00857780488893516
"US",17020,"26-50","Grasslands",-0.00395513474921764
"US",17021,"1-25","Grasslands",-0.0146334668956306
"US",17021,"26-50","Grasslands",-0.0106993555706115
"US",17023,"1-25","Forest",0.00436780515650272
"US",17023,"26-50","Forest",0.00593248430182386
"US",17024,"1-25","Grasslands",-0.00414114775179268
"US",17024,"26-50","Grasslands",-0.00410865283962883
"US",17025,"1-25","Grasslands",-0.0326291707132661
"US",17025,"26-50","Grasslands",-0.015794393720147
"US",17026,"1-25","Shrubland",0.00321853967029258
"US",17026,"26-50","Shrubland",0.00128471376806405
"US",17027,"1-25","Grasslands",0.00951490544234548
"US",17027,"26-50","Grasslands",0.00755081621552656
"US",17028,"1-25","Grasslands",-0.00848317968808764
"US",17028,"26-50","Grasslands",-0.0119770697240368
"US",17031,"1-25","Forest",0.0117290957758998
"US",17031,"26-50","Forest",0.00785134091728008
"US",17032,"1-25","Shrubland",0.0130929538315358
"US",17032,"26-50","Shrubland",0.00946860527872128
"US",17033,"1-25","Shrubland",0.00497320740042576
"US",17033,"26-50","Shrubland",0.00279459847417528
