"max_bins","stateroute","year_bin","n_years","n_bins"
5,6028,2002,5,5
5,6028,2007,4,5
5,6028,2012,4,5
5,6032,1992,5,5
5,6032,1997,5,5
5,6032,2002,5,5
5,6032,2007,5,5
5,6032,2012,5,5
5,6051,1992,3,5
5,6051,1997,5,5
5,6051,2002,4,5
5,6051,2007,4,5
5,6051,2012,5,5
5,6052,1992,4,5
5,6052,1997,4,5
5,6052,2002,3,5
5,6052,2007,5,5
5,6052,2012,4,5
5,6056,1992,5,5
5,6056,1997,3,5
5,6056,2002,3,5
5,6056,2007,4,5
5,6056,2012,5,5
5,6063,1992,5,5
5,6063,1997,4,5
5,6063,2002,5,5
5,6063,2007,3,5
5,6063,2012,4,5
5,6066,1992,5,5
5,6066,1997,3,5
5,6066,2002,4,5
5,6066,2007,3,5
5,6066,2012,3,5
5,6071,1992,4,5
5,6071,1997,4,5
5,6071,2002,5,5
5,6071,2007,5,5
5,6071,2012,5,5
5,6074,1992,3,5
5,6074,1997,5,5
5,6074,2002,5,5
5,6074,2007,5,5
5,6074,2012,5,5
5,6078,1992,4,5
5,6078,1997,5,5
5,6078,2002,5,5
5,6078,2007,5,5
5,6078,2012,5,5
5,6083,1992,3,5
5,6083,1997,4,5
5,6083,2002,5,5
5,6083,2007,3,5
5,6083,2012,3,5
5,6115,1992,3,5
5,6115,1997,4,5
5,6115,2002,4,5
5,6115,2007,5,5
5,6115,2012,4,5
5,6121,1992,5,5
5,6121,1997,5,5
5,6121,2002,5,5
5,6121,2007,5,5
5,6121,2012,4,5
5,6122,1992,5,5
5,6122,1997,5,5
5,6122,2002,5,5
5,6122,2007,5,5
5,6122,2012,3,5
5,6123,1992,5,5
5,6123,1997,4,5
5,6123,2002,5,5
5,6123,2007,4,5
5,6123,2012,3,5
5,7004,1992,5,5
5,7004,1997,5,5
5,7004,2002,5,5
5,7004,2007,5,5
5,7004,2012,5,5
5,7005,1992,5,5
5,7005,1997,5,5
5,7005,2002,5,5
5,7005,2007,5,5
5,7005,2012,5,5
5,7007,1992,5,5
5,7007,1997,5,5
5,7007,2002,4,5
5,7007,2007,5,5
5,7007,2012,5,5
5,7008,1992,3,5
5,7008,1997,5,5
5,7008,2002,5,5
5,7008,2007,5,5
5,7008,2012,5,5
